frame,x1A,y1A,x2A,y2A,expID
1273.0,1042.5352388926913,663.1344030958227,1068.6193461611624,686.665276366026,1046
1232.0,1280.6669135468521,511.2525423441096,1313.0603150418958,528.1414436654803,1046
1583.0,1108.4944395981163,387.6201660351891,1136.7273310268008,417.9388217111929,1046
1430.0,1160.1533106054485,521.5163165771096,1192.8688933081094,534.3855385698803,1046
1658.0,1213.4091488484196,630.0273709257341,1244.5649134519394,655.7312370027304,1046
1755.0,1370.3352625029395,656.7064783305198,1393.6936024386453,700.2664834387824,1046
1754.0,1328.5829551302718,606.3945352057459,1342.955179904718,650.2315099260994,1046
1695.0,1161.4973751790483,576.4201838578936,1176.2207830321174,604.9588251373523,1046
1831.0,1049.9565368215076,569.6924418062835,1073.6112513013518,618.0079399617008,1046
1973.0,1089.697659273077,578.5621669231027,1102.2724683437282,614.8269899398022,1046
1380.0,1143.1060851960497,256.8877819647195,1191.8120126667986,269.98288810942785,1046
1664.0,1247.8986583302878,641.6652867776552,1278.71483367197,656.1020590894586,1046
258.0,252.03453951327324,449.43804446930756,268.64171899566327,509.24751180235285,1046
2192.0,1095.0145611548933,900.8824041348471,1118.5836342587995,947.4356704715672,1046
1477.0,1256.5307087024294,621.2333526860851,1280.7230046185223,663.058543726236,1046
1367.0,1068.892361307479,560.320422435081,1101.2617040889404,583.4472820537632,1046
1523.0,1566.5104023541282,694.0607821382614,1580.7603120215174,715.0324595927611,1046
